idx,from,module,C_before,H_before,W_before,C_after,H_after,W_after,C_change,C_prune_ratio
0,-1,Conv,16.0,320.0,320.0,16.0,320.0,320.0,0.0,0.0
1,-1,Conv,32.0,160.0,160.0,32.0,160.0,160.0,0.0,0.0
2,-1,C3k2_WTConv,64.0,160.0,160.0,64.0,160.0,160.0,0.0,0.0
3,-1,Conv,64.0,80.0,80.0,64.0,80.0,80.0,0.0,0.0
4,-1,C3k2_WTConv,128.0,80.0,80.0,128.0,80.0,80.0,0.0,0.0
5,-1,ADown,128.0,40.0,40.0,100.0,40.0,40.0,-28.0,0.21875
6,-1,C3k2_WTConv,128.0,40.0,40.0,128.0,40.0,40.0,0.0,0.0
7,-1,ADown,256.0,20.0,20.0,85.0,20.0,20.0,-171.0,0.66796875
8,-1,C3k2_WTConv,256.0,20.0,20.0,99.0,20.0,20.0,-157.0,0.61328125
9,-1,SPPF,256.0,20.0,20.0,88.0,20.0,20.0,-168.0,0.65625
10,-1,C2PSA,256.0,20.0,20.0,256.0,20.0,20.0,0.0,0.0
11,-1,Conv,64.0,20.0,20.0,64.0,20.0,20.0,0.0,0.0
12,-1,Upsample,64.0,40.0,40.0,64.0,40.0,40.0,0.0,0.0
13,6,Conv,64.0,40.0,40.0,64.0,40.0,40.0,0.0,0.0
14,"[-2, -1]",Concat,128.0,40.0,40.0,128.0,40.0,40.0,0.0,0.0
15,-1,C3k2_WTConv,64.0,40.0,40.0,64.0,40.0,40.0,0.0,0.0
16,-1,Conv,64.0,40.0,40.0,64.0,40.0,40.0,0.0,0.0
17,-1,Upsample,64.0,80.0,80.0,64.0,80.0,80.0,0.0,0.0
18,4,Conv,64.0,80.0,80.0,64.0,80.0,80.0,0.0,0.0
19,"[-2, -1]",Concat,128.0,80.0,80.0,128.0,80.0,80.0,0.0,0.0
20,-1,C3k2_WTConv,64.0,80.0,80.0,64.0,80.0,80.0,0.0,0.0
21,-1,Conv,64.0,40.0,40.0,64.0,40.0,40.0,0.0,0.0
22,"[-1, 16]",Concat,128.0,40.0,40.0,128.0,40.0,40.0,0.0,0.0
23,-1,C3k2_WTConv,64.0,40.0,40.0,64.0,40.0,40.0,0.0,0.0
24,-1,Conv,64.0,20.0,20.0,64.0,20.0,20.0,0.0,0.0
25,"[-1, 11]",Concat,128.0,20.0,20.0,128.0,20.0,20.0,0.0,0.0
26,-1,C3k2_WTConv,64.0,20.0,20.0,38.0,20.0,20.0,-26.0,0.40625
27,"[20, 23, 26]",Detect,,,,,,,,
